Event,Date,Ticker,Return_30d
Balakot Airstrike,2019-02-26,HAL.NS,11.91
Balakot Airstrike,2019-02-26,BEL.NS,18.78
Balakot Airstrike,2019-02-26,BEML.NS,19.53
Balakot Airstrike,2019-02-26,MAZDOCK.NS,0.0
Balakot Airstrike,2019-02-26,COCHINSHIP.NS,14.87
Balakot Airstrike,2019-02-26,BDL.NS,24.6
Balakot Airstrike,2019-02-26,^NSEI,7.46
Galwan Valley Clash,2020-06-15,HAL.NS,35.24
Galwan Valley Clash,2020-06-15,BEL.NS,40.1
Galwan Valley Clash,2020-06-15,BEML.NS,9.67
Galwan Valley Clash,2020-06-15,MAZDOCK.NS,0.0
Galwan Valley Clash,2020-06-15,COCHINSHIP.NS,25.05
Galwan Valley Clash,2020-06-15,BDL.NS,57.61
Galwan Valley Clash,2020-06-15,^NSEI,13.43
Russia-Ukraine War,2022-02-24,HAL.NS,31.59
Russia-Ukraine War,2022-02-24,BEL.NS,30.81
Russia-Ukraine War,2022-02-24,BEML.NS,27.18
Russia-Ukraine War,2022-02-24,MAZDOCK.NS,33.27
Russia-Ukraine War,2022-02-24,COCHINSHIP.NS,15.94
Russia-Ukraine War,2022-02-24,BDL.NS,85.39
Russia-Ukraine War,2022-02-24,^NSEI,8.78
Operation Sindoor,2025-05-07,HAL.NS,11.72
Operation Sindoor,2025-05-07,BEL.NS,29.21
Operation Sindoor,2025-05-07,BEML.NS,43.35
Operation Sindoor,2025-05-07,MAZDOCK.NS,15.67
Operation Sindoor,2025-05-07,COCHINSHIP.NS,47.06
Operation Sindoor,2025-05-07,BDL.NS,31.65
Operation Sindoor,2025-05-07,^NSEI,1.63
