Year,Supplier,SIPRI_TIV
2000,Russia,651
2001,Russia,798
2002,Russia,1671
2003,Russia,2159
2004,Russia,1498
2005,Russia,689
2006,Russia,928
2007,Russia,1773
2008,Russia,1326
2009,Russia,1446
2010,Russia,2289
2011,Russia,2508
2012,Russia,3916
2013,Russia,3790
2014,Russia,1639
2015,Russia,1844
2016,Russia,1764
2017,Russia,1334
2018,Russia,1215
2019,Russia,1219
2020,Russia,1165
2021,Russia,1267
2022,Russia,1137
2023,Russia,498
2024,Russia,897
2000,France,41
2001,France,20
2002,France,11
2003,France,11
2004,France,151
2005,France,101
2006,France,5
2007,France,8
2008,France,14
2009,France,19
2010,France,24
2011,France,27
2012,France,32
2013,France,52
2014,France,54
2015,France,119
2016,France,117
2017,France,406
2018,France,166
2019,France,775
2020,France,694
2021,France,1906
2022,France,830
2023,France,251
2024,France,176
2000,Israel,44
2001,Israel,76
2002,Israel,88
2003,Israel,148
2004,Israel,196
2005,Israel,247
2006,Israel,203
2007,Israel,102
2008,Israel,41
2009,Israel,109
2010,Israel,106
2011,Israel,155
2012,Israel,163
2013,Israel,118
2014,Israel,155
2015,Israel,157
2016,Israel,518
2017,Israel,633
2018,Israel,526
2019,Israel,156
2020,Israel,115
2021,Israel,215
2022,Israel,250
2023,Israel,589
2024,Israel,323
2000,USA,0
2001,USA,0
2002,USA,0
2003,USA,0
2004,USA,0
2005,USA,0
2006,USA,80
2007,USA,84
2008,USA,0
2009,USA,0
2010,USA,54
2011,USA,214
2012,USA,139
2013,USA,983
2014,USA,1115
2015,USA,261
2016,USA,41
2017,USA,267
2018,USA,25
2019,USA,754
2020,USA,416
2021,USA,316
2022,USA,234
2023,USA,75
2024,USA,65
2000,UK,0
2001,UK,0
2002,UK,18
2003,UK,0
2004,UK,104
2005,UK,117
2006,UK,0
2007,UK,164
2008,UK,224
2009,UK,112
2010,UK,120
2011,UK,140
2012,UK,160
2013,UK,140
2014,UK,150
2015,UK,150
2016,UK,130
2017,UK,0
2018,UK,6
2019,UK,13
2020,UK,28
2021,UK,142
2022,UK,142
2023,UK,22
2024,UK,21
2000,Others,252
2001,Others,156
2002,Others,114
2003,Others,480
2004,Others,297
2005,Others,48
2006,Others,218
2007,Others,169
2008,Others,38
2009,Others,272
2010,Others,209
2011,Others,215
2012,Others,96
2013,Others,219
2014,Others,167
2015,Others,202
2016,Others,52
2017,Others,72
2018,Others,44
2019,Others,285
2020,Others,252
2021,Others,112
2022,Others,159
2023,Others,105
2024,Others,121
